gene_symbol	gene_code	associations	mean_prediction
AKAP10	HGNC:368	0	 0.106
AKAP11	HGNC:369	0	 0.103
AKAP12	HGNC:370	0	 0.140
AKAP13	HGNC:371	0	 0.121
AKAP14	HGNC:24061	0	 0.087
AKAP17A	HGNC:18783	0	 0.095
AKAP2	HGNC:372	0	 0.110
AKAP3	HGNC:373	0	 0.097
AKAP4	HGNC:374	0	 0.098
AKAP5	HGNC:375	0	 0.108
AKAP6	HGNC:376	0	 0.107
AKAP7	HGNC:377	0	 0.108
AKAP8	HGNC:378	0	 0.103
AKAP8L	HGNC:29857	0	 0.101
AKAP9	HGNC:379	0	 0.126
AKIP1	HGNC:1170	0	 0.095
AKIRIN1	HGNC:25744	0	 0.106
AKIRIN2	HGNC:21407	0	 0.108
AKNA	HGNC:24108	0	 0.102
AKNAD1	HGNC:28398	0	 0.087
AKR1A1	HGNC:380	0	 0.114
AKR1B1	HGNC:381	0	 0.126
AKR1B10	HGNC:382	0	 0.101
AKR1B15	HGNC:37281	0	 0.092
AKR1C1	HGNC:384	0	 0.120
AKR1C2	HGNC:385	0	 0.104
AKR1C3	HGNC:386	0	 0.121
AKR1C4	HGNC:387	0	 0.098
AKR1CL1	HGNC:23469	0	 0.082
AKR1D1	HGNC:388	0	 0.103
AKR1E2	HGNC:23437	0	 0.094
AKR7A2	HGNC:389	0	 0.104
AKR7A3	HGNC:390	0	 0.094
AKR7L	HGNC:24056	0	 0.083
AKT1	HGNC:391	0	 0.233
AKT1S1	HGNC:28426	0	 0.114
AKT2	HGNC:392	0	 0.169
AKT3	HGNC:393	0	 0.182
AKTIP	HGNC:16710	0	 0.123
ALAD	HGNC:395	0	 0.103
ALAS1	HGNC:396	0	 0.121
ALAS2	HGNC:397	0	 0.112
ALB	HGNC:399	0	 0.142
ALCAM	HGNC:400	0	 0.180
ALDH16A1	HGNC:28114	0	 0.088
ALDH18A1	HGNC:9722	0	 0.108
ALDH1A1	HGNC:402	0	 0.147
ALDH1A2	HGNC:15472	0	 0.118
ALDH1A3	HGNC:409	0	 0.112
ALDH1B1	HGNC:407	0	 0.114
ALDH1L1	HGNC:3978	0	 0.100
ALDH1L2	HGNC:26777	0	 0.092
ALDH2	HGNC:404	1	 0.215
ALDH3A1	HGNC:405	0	 0.104
ALDH3A2	HGNC:403	0	 0.127
ALDH3B1	HGNC:410	0	 0.111
ALDH3B2	HGNC:411	0	 0.100
ALDH4A1	HGNC:406	0	 0.110
ALDH5A1	HGNC:408	0	 0.114
ALDH6A1	HGNC:7179	0	 0.119
ALDH7A1	HGNC:877	0	 0.119
ALDH8A1	HGNC:15471	0	 0.094
ALDH9A1	HGNC:412	0	 0.121
ALDOA	HGNC:414	0	 0.124
ALDOB	HGNC:417	0	 0.106
ALDOC	HGNC:418	0	 0.120
ALG1	HGNC:18294	0	 0.095
ALG10	HGNC:23162	0	 0.088
ALG10B	HGNC:31088	0	 0.087
ALG11	HGNC:32456	0	 0.087
ALG12	HGNC:19358	0	 0.097
ALG13	HGNC:30881	0	 0.103
ALG14	HGNC:28287	0	 0.091
ALG1L	HGNC:33721	0	 0.084
ALG2	HGNC:23159	0	 0.099
ALG3	HGNC:23056	0	 0.098
ALG5	HGNC:20266	0	 0.100
ALG6	HGNC:23157	0	 0.101
ALG8	HGNC:23161	0	 0.103
ALG9	HGNC:15672	0	 0.092
ALK	HGNC:427	0	 0.118
ALKBH1	HGNC:17911	0	 0.098
ALKBH2	HGNC:32487	0	 0.090
ALKBH3	HGNC:30141	0	 0.093
ALKBH4	HGNC:21900	0	 0.092
ALKBH5	HGNC:25996	0	 0.100
ALKBH6	HGNC:28243	0	 0.091
ALKBH7	HGNC:21306	0	 0.092
ALKBH8	HGNC:25189	0	 0.088
ALLC	HGNC:17377	0	 0.093
ALMS1	HGNC:428	0	 0.096
ALOX12	HGNC:429	0	 0.108
ALOX12B	HGNC:430	0	 0.095
ALOX15	HGNC:433	0	 0.107
ALOX15B	HGNC:434	0	 0.105
ALOX5	HGNC:435	0	 0.129
ALOX5AP	HGNC:436	0	 0.122
ALOXE3	HGNC:13743	0	 0.096
ALPI	HGNC:437	0	 0.102
ALPK1	HGNC:20917	0	 0.092
ALPK2	HGNC:20565	0	 0.100
ALPK3	HGNC:17574	0	 0.095
ALPL	HGNC:438	0	 0.107
ALPP	HGNC:439	0	 0.092
ALPPL2	HGNC:441	0	 0.097
ALS2	HGNC:443	0	 0.112
