doid_id	doid_name	bto_id	bto_name	r_scaled
DOID:8778	Crohn's disease	BTO:0000784	lymph node	29.0
DOID:8778	Crohn's disease	BTO:0000041	medulla oblongata	0.0
DOID:8778	Crohn's disease	BTO:0000876	monocyte	33.0
DOID:8778	Crohn's disease	BTO:0004730	myeloid progenitor cell	0.0
DOID:8778	Crohn's disease	BTO:0000914	natural killer cell	30.0
DOID:8778	Crohn's disease	BTO:0000293	occipital lobe	0.0
DOID:8778	Crohn's disease	BTO:0000961	olfactory bulb	16.0
DOID:8778	Crohn's disease	BTO:0000975	ovary	19.0
DOID:8778	Crohn's disease	BTO:0000988	pancreas	27.0
DOID:8778	Crohn's disease	BTO:0000991	pancreatic islet	21.0
DOID:8778	Crohn's disease	BTO:0001067	pineal gland	0.0
DOID:8778	Crohn's disease	BTO:0001078	placenta	17.0
DOID:8778	Crohn's disease	BTO:0001101	pons	0.0
DOID:8778	Crohn's disease	BTO:0001129	prostate gland	21.0
DOID:8778	Crohn's disease	BTO:0001175	retina	17.0
DOID:8778	Crohn's disease	BTO:0001203	salivary gland	21.0
DOID:8778	Crohn's disease	BTO:0001235	seminiferous tubule	24.0
DOID:8778	Crohn's disease	BTO:0001103	skeletal muscle	19.0
DOID:8778	Crohn's disease	BTO:0001253	skin	29.0
DOID:8778	Crohn's disease	BTO:0000651	small intestine	38.0
DOID:8778	Crohn's disease	BTO:0001260	smooth muscle	26.0
DOID:8778	Crohn's disease	BTO:0000958	spermatogonium	0.0
DOID:8778	Crohn's disease	BTO:0001279	spinal cord	20.0
DOID:8778	Crohn's disease	BTO:0001264	spinal ganglion	0.0
DOID:8778	Crohn's disease	BTO:0001325	superior cervical ganglion	0.0
DOID:8778	Crohn's disease	BTO:0001355	temporal lobe	17.0
DOID:8778	Crohn's disease	BTO:0001363	testis	18.0
DOID:8778	Crohn's disease	BTO:0001365	thalamus	13.0
DOID:8778	Crohn's disease	BTO:0001374	thymus	23.0
DOID:8778	Crohn's disease	BTO:0001379	thyroid gland	23.0
DOID:8778	Crohn's disease	BTO:0001385	tongue	25.0
DOID:8778	Crohn's disease	BTO:0001387	tonsil	24.0
DOID:8778	Crohn's disease	BTO:0001388	trachea	21.0
DOID:8778	Crohn's disease	BTO:0001231	trigeminal ganglion	0.0
DOID:8778	Crohn's disease	BTO:0001424	uterus	20.0
DOID:8778	Crohn's disease	BTO:0000084	vermiform appendix	40.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000776	B-lymphocyte	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000755	Leydig cell	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000443	adipocyte	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000045	adrenal cortex	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000047	adrenal gland	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001042	amygdala	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000089	blood	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000141	bone marrow	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000142	brain	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0002320	cardiac muscle fiber	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001539	cardiac myocyte	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000211	caudate nucleus	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000232	cerebellum	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000269	colon	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000289	cytotoxic T-lymphocyte	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0002042	dendritic cell	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001176	endothelial cell	46.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0004911	erythroid progenitor cell	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000562	heart	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0002417	helper T-lymphocyte	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000725	hematopoietic stem cell	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001073	hypophysis	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000614	hypothalamus	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000671	kidney	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000759	liver	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000763	lung	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000784	lymph node	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000041	medulla oblongata	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000876	monocyte	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0004730	myeloid progenitor cell	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000914	natural killer cell	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000293	occipital lobe	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000961	olfactory bulb	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000975	ovary	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000988	pancreas	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000991	pancreatic islet	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001067	pineal gland	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001078	placenta	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001101	pons	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001129	prostate gland	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001175	retina	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001203	salivary gland	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001235	seminiferous tubule	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001103	skeletal muscle	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001253	skin	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000651	small intestine	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001260	smooth muscle	35.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000958	spermatogonium	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001279	spinal cord	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001264	spinal ganglion	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001325	superior cervical ganglion	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001355	temporal lobe	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001363	testis	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001365	thalamus	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001374	thymus	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001379	thyroid gland	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001385	tongue	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001387	tonsil	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001388	trachea	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001231	trigeminal ganglion	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0001424	uterus	0.0
DOID:11555	Fuchs' endothelial dystrophy	BTO:0000084	vermiform appendix	0.0
DOID:11119	Gilles de la Tourette syndrome	BTO:0000776	B-lymphocyte	28.0
